TeslaDeaths,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
 , , Date, Country, State, Description, , Tesla driver, Tesla occupant, Other vehicle, Cyclists/ Peds, TSLA+cycl / peds, Model, Autopilot claimed, Reported in NHTSA SGO, Verified Tesla Autopilot Deaths, Excerpt Verifying Tesla Autopilot Deaths
306,2023,2/20/2023, USA, CA, Tesla drives into opposite lane,3, -, 2, 1, -, 2, -, -, -, -, -
305,2023,2/18/2023, USA, CA, Tesla crashes into fire truck,1, 1, -, -, -, 1, -, 1, 13781-4963, 1, SGO
304,2023,2/17/2023, China, -," Tesla lands on front end, crashes into vehicles",1, -, 1, -, -, -, 3, -, -, -, -
303,2023,2/17/2023, USA, NY, Tesla collides with car head-on,4, 1, 1, 2, -, 2, -, -, -, -, -
302,2023,2/15/2023, USA, CO, Four vehicle collision,1, -, -, 1, -, -, -, -, -, -, -
301,2023,2/14/2023, USA, NJ, Pickup hits Tesla,1, -, -, 1, -, -, -, -, -, -, -
300,2023,2/7/2023, USA, TN, Two-car collision,2, 1, 1, -, -, 2, -, -, -, -, -
299,2023,1/31/2023, USA, PA, Speeding Tesla hits pedestrian,1, -, -, -, 1, 1, 3, -, -, -, -
298,2023,1/30/2023, USA, MO, Speeding Tesla crashes into car,1, -, -, 1, -, -, -, -, -, -, -
297,2023,1/21/2023, USA, CA, Tesla crashes into resident's pool,1, 1, -, -, -, 1, -, -, -, -, -
296,2023,1/17/2023, USA, CA, Tesla crashes into back of semi,1, 1, -, -, -, 1, -, -, -, -, -
295,2023,1/7/2023, Canada, -, Tesla crashes,1, 1, -, -, -, 1, -, -, -, -, -
294,2023,1/7/2023, USA, WA," Tesla hits pole, catches on fire",1, -, 1, -, -, 1, -, -, -, -, -
293.1,2023,1/7/2023, USA, WA," Tesla hits pole, ignites",1, -, 1, -, -, 1, -, -, -, -, -
293,2022,12/22/2022, USA, GA, Tesla crashes and burns,1, 1, -, -, -, 1, -, -, -, -, -
292,2022,12/19/2022, Canada, -, Tesla crashes into storefront,1, -, -, -, 1, 1, -, -, -, -, -
291,2022,12/18/2022, USA, CA, Tesla hit two other cars,1, -, 1, -, -, -, -, -, -, -, -
290,2022,12/17/2022, USA, CA, Tesla hits pedestrian on highway,1, -, -, -, 1, 1, -, -, -, -, -
289,2022,12/11/2022, USA, CA, Tesla crashes into wall,1, 1, -, -, -, -, -, -, -, -, -
288,2022,12/11/2022, USA, MO, Collision at intersection,1, -, -, 1, -, -, -, -, -, -, -
287,2022,12/6/2022, Canada, -," Tesla veers, collides with truck",1, 1, -, -, -, -, -, -, -, -, -
286,2022,11/28/2022, China, -," Tesla runs red light, collides with two cars",2, -, -, 2, -, -, Y, -, -, -, -
285,2022,11/27/2022, USA, CA," Tesla careens off road, hits trees",1, 1, -, -, -, 1, -, -, -, -, -
284,2022,11/26/2022, USA, AR, Tesla hits pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
283,2022,11/18/2022, China, -, Tesla crashes into dump truck,1, 1, -, -, -, 1, -, -, -, -, -
282,2022,11/12/2022, Mexico, -, Tesla hits Toyota,1, -, -, 1, -, -, -, -, -, -, -
281,2022,11/12/2022, USA, CA, Multi-vehicle accident,1, -, -, 1, -, -, -, -, -, -, -
280,2022,11/11/2022, USA, CA," Tesla hits wall, catches fire",1, -, 1, -, -, -, -, 1, -, -, -
279,2022,11/5/2022, China, -, Out of control Tesla hits bicyclist and motorcyclist,2, -, -, 1, 1, 1, -, -, -, -, -
278,2022,11/4/2022, USA, IL," Collision at intersection, Tesla driver dies in hospital",1, 1, -, -, -, 1, -, -, -, -, -
277,2022,10/19/2022, USA, CA, Multi-car crash,1, 1, -, -, -, 1, -, -, -, -, -
276,2022,10/18/2022, USA, FL," Tesla collides with minivan, engulfed by flames",4, 1, 1, 2, -, 2, -, -, -, -, -
275,2022,10/12/2022, UK, -, Tesla crashes into ditch,1, 1, -, -, -, 1, -, -, -, -, -
274,2022,10/9/2022, USA, CA, Tesla hits concrete block,1, -, 1, -, -, 1, -, -, -, -, -
273,2022,10/1/2022, USA, FL, Tesla hits tree and catches fire,1, 1, -, -, -, 1, -, -, -, -, -
272,2022,9/18/2022, USA, SC," Tesla crashes into tree, ignites",2, 1, 1, -, -, 2, -, -, -, -, -
271,2022,9/18/2022, USA, MD, Multi-car accident,1, -, -, 1, -, -, -, -, -, -, -
270,2022,9/16/2022, USA, GA," Tesla loses control and crashes into bus shelter, kills man inside",1, -, -, -, 1, 1, -, 1, -, -, -
269,2022,9/13/2022, USA, CA, Tesla runs off highway,1, 1, -, -, -, 1, 3, 1, 13781-4011, 1, SGO
268,2022,9/12/2022, USA, NY," Tesla runs off road, catches fire",1, 1, -, -, -, -, -, -, -, -, -
267,2022,9/7/2022, USA, CA, Motorcycle collides with Tesla,1, 1, -, -, -, -, -, -, -, -, -
266.1,2022,9/-/2022, USA, FL, [REDACTED],1, -, -, -, -, -, Y, -," 13781-5248 | Currently marked as [Unknown] for ""Automated System Engaged?""", 1, SGO
266,2022,8/30/2022, USA, CA, Tesla hits motorcycle,1, -, -, 1, -, -, -, -, -, -, -
265,2022,8/26/2022, USA, FL, Tesla hits motorcycle,1, -, -, 1, -, -, 3, 1, 13781-3713, 1, SGO
264,2022,8/24/2022, USA, MA, Motorcyclist hits Tesla,1, -, -, 1, -, -, -, -, -, -, -
263,2022,8/23/2022, USA, SC, Multi-car accident on highway,2, -, -, 2, -, -, 3, 2, 13781-3710, 2, SGO
262,2022,8/21/2022, UK, -," Car drives thru garage, hits Tesla, lands on railroad tracks",1, -, -, 1, -, -, -, -, -, -, -
261,2022,8/20/2022, USA, FL," Tesla swerves, runs off roadway, overturns",1, 1, -, -, -, 1, S, -, -, -, -
260,2022,8/20/2022, USA, FL, Pedestrian hit in road,1, -, -, -, 1, 1, -, -, -, -, -
259,2022,8/16/2022, Germany, -," Tesla car crashes into tree, burns",3, -, -, -, -, 3, -, -, -, -, -
258,2022,8/14/2022, USA, CA, Tesla veers into oncoming traffic,4, 1, 3, -, -, 4, -, -, -, -, -
257,2022,8/14/2022, Finland, -, Unlicensed driver hits pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
256,2022,8/2/2022, USA, FL, Man in wheelchair hit crossing road,1, -, -, -, 1, 1, 3, -, -, -, -
255,2022,7/27/2022, Canada, -, Tesla hits cyclist,1, -, -, -, 1, 1, -, -, -, -, -
254,2022,7/27/2022, USA, ME, Tesla crashes at high speed,1, 1, -, -, -, 1, -, -, -, -, -
253.1,2022,7/24/2022, USA, TN, Tesla drunk driver,1, -, -, 1, -, -, -, 1, -, -, -
253,2022,7/24/2022, USA, UT, Tesla hits motorcycle,1, -, -, 1, -, -, 3, 1, 13781-3488, 1, SGO
252,2022,7/16/2022, USA, PA, Tesla goes airborne and crashes,1, 1, -, -, -, 1, -, -, -, -, -
251,2022,7/12/2022, China, -, Out of control Tesla hits pedestrians,2, -, -, -, 2, 2, Y, -, -, -, -
250,2022,7/8/2022, USA, CA, 3-car accident involving Tesla,1, -, -, 1, -, -, -, -, -, -, -
249,2022,7/8/2022, USA, HA, Motorcycle crashes into Tesla,1, -, -, 1, -, -, -, -, -, -, -
248,2022,7/7/2022, USA, CA, Motorcycle hit by Tesla,1, -, -, 1, -, -, Y, 1, 13781-3488, 1, SGO
247,2022,7/6/2022, USA, FL, Tesla hits parked tractor-trailer,2, 1, 1, -, -, 2, S, 2, 13781-3327, 2, SGO
246,2022,7/5/2022, USA, GA," Tesla strikes pole, burns",1, 1, -, -, -, 1, -, -, -, -, -
245,2022,6/26/2022, USA, CA, Tesla drives into opposite lane,1, -, -, 1, -, -, -, -, -, -, -
244,2022,6/20/2022, USA, AL, Tesla crashes into car,1, -, -, 1, -, -, -, -, -, -, -
243,2022,6/20/2022, USA, PA, Tesla hit and run,1, -, -, -, 1, 1, -, -, -, -, -
242,2022,6/20/2022, Canada, -, Tesla runs into overpass,1, 1, -, -, -, 1, -, -, -, -, -
241,2022,6/19/2022, USA, MI," Tesla hits telephone pole, ignites",2, 1, 1, -, -, 2, -, -, -, -, -
240,2022,6/17/2022, USA, CA, Head-on collision,2, 1, 1, -, -, 2, -, -, -, -, -
239,2022,6/14/2022, USA, CA, Tesla moves into opposite lane and head-on crashes,1, -, -, 1, -, -, -, -, -, -, -
238,2022,6/13/2022, USA, CA, Two-car collision,1, 1, -, -, -, 1, -, -, -, -, -
237,2022,6/7/2022, USA, CA, DUI crash,1, -, -, -, 1, 1, -, -, -, -, -
236,2022,6/3/2022, USA, NV, Motorcycle crashes into Tesla,1, -, -, 1, -, -, -, -, -, -, -
235,2022,6/-/2022, USA, NJ, [REDACTED],1, , -, -, -, 1, 3, 1, 13781-3513, 1, SGO
234,2022,5/28/2022, USA, NY, Tesla DUI crash,1, -, -, 1, -, -, -, -, -, -, -
233,2022,5/28/2022, USA, OR, Tesla loses control and crashes into car,2, 1, -, 1, -, 1, Y, -, -, -, -
232,2022,5/28/2022, USA, CA, Speeding tesla crashes into tree,1, 1, -, -, -, 1, -, -, -, -, -
231,2022,5/25/2022, USA, OR, Tesla crashes into pole,1, -, 1, -, -, 1, S, -, -, -, -
230,2022,5/23/2022, USA, AZ,  Tesla driver hit in multi-car accident,1, 1, -, -, -, 1, -, 1, -, -, -
229,2022,5/21/2022, China, -, Tesla hits pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
228,2022,5/19/2022, USA, NJ," Tesla hits trees, ignites",1, 1, -, -, -, 1, -, -, -, -, -
227,2022,5/19/2022, USA, NJ, Multiple car crash on highway,1, 1, -, -, -, 1, -, -, -, -, -
226,2022,5/18/2022, USA, CA, Tesla hits pedestrian,1, -, -, -, 1, 1, 3, 1, 13781-3279, 1, SGO
225,2022,5/17/2022, USA, CO, Fiery crash,1, 1, -, -, -, 1, 3, 1, 13781-3074, 1, SGO
224,2022,5/12/2022, Australia, -, Tesla hits electric bike who dies 5 days later from injuries,1, -, -, -, 1, 1, X, -, -, -, -
223,2022,5/12/2022, USA, CA, Tesla smashes into construction equipment,3, 1, 2, -, -, 3, S, 1, -, -, -
222,2022,5/7/2022, USA, UT, Tesla DUI involving another vehicle,2, -, -, 2, -, -, -, -, -, -, -
221,2022,5/1/2022, USA, PA, Tesla DUI hits pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
220,2022,4/29/2022, USA, NC," Highway accident, Tesla goes airborne",1, 1, -, -, -, -, -, -, -, -, -
219,2022,4/14/2022, USA, FL, Crash with motorcycle,1, -, -, 1, , -, Y, 1, 13781-3470, 1, SGO
218,2022,4/10/2022, UK, -, Two car accident,1, -, -, 1, -, -, -, -, -, -, -
217,2022,4/8/2022, Netherlands, -, Head-on collision with truck and Tesla,1, -, -, -, -, 1, -, -, -, -, -
216,2022,3/27/2022, USA, CA," DUI crash on highway, Tesla catches fire",1, -, -, -, -, 1, Y, 1, 13781-2600, 1, SGO
215,2022,3/21/2022, USA, CA, Three car collision involving Tesla,2, -, -, 2, -, -, -, -, -, -, -
214,2022,3/20/2022, USA, CA, Car crosses double yellow and crashes with a Tesla,2, 1, -, 1, -, 1, 3, -, -, -, -
213,2022,3/14/2022, USA, CA, Tesla collides into rail on highway,2, 1, 1, -, -, 1, -, -, -, -, -
212,2022,3/14/2022, USA, FL, Tesla crash that ends in fire,1, 1, -, -, -, 1, -, -, -, -, -
211,2022,3/13/2022, Switzerland, -, Frontal collision between Tesla and VW,1, -, -, 1, -, 1, -, -, -, -, -
210,2022,3/12/2022, USA, NY, Tesla ignites on parkway,1, 1, -, -, -, 1, S, -, -, -, -
209,2022,3/7/2022, China, -," Tesla on Autopilot hits maintenance car, then BMW hits responder",1, -, -, -, 1, 1, -, 1, -, -, -
208,2022,3/7/2022, USA, CA, Car found overturned in a ravine,1, 1, -, -, -, 1, -, -, -, -, -
207,2022,3/5/2022, USA, CA, Tesla crashes head on with other car,1, -, -, 1, -, -, -, -, -, -, -
206,2022,2/28/2022, USA, ID, Car found in water-swollen ditch,1, 1, -, -, -, 1, -, -, -, -, -
205,2022,2/27/2022, USA, MO, Tesla breaks down in traffic and causes pile-up,1, 1, -, -, -, 1, -, -, -, -, -
204,2022,2/12/2022, USA, CA, Tesla crashes into a tree,1, 1, -, -, -, 1, -, -, -, -, -
203,2022,2/7/2022, USA, FL," Tesla loses control, hits pole, ignites",1, 1, -, -, -, 1, -, -, -, -, -
202,2022,1/16/2022, USA, CA, Three-car collision near intersection,1, -, -, 1, -, -, -, -, -, -, -
201,2022,1/1/2022, USA, CA, Motorcyclist crashes into Tesla,1, -, -, 1, -, -, X, -, -, -, -
200,2022,1/1/2022, USA, CA, Single-collision on onramp,1, 1, -, -, -, 1, -, -, -, -, -
199,2021,12/31/2021, USA, CA, Tesla crashes into trees,2, 1, 1, -, -, 2, -, -, -, -, -
198,2021,12/28/2021, USA, CA, Multi-crash involving DUI,1, -, -, 1, -, -, 3, 1, 13781-3900, 1, SGO
197,2021,12/24/2021, China, -, Tesla loses control and drives into river,1, 1, -, -, -, 1, -, -, -, -, -
196,2021,12/18/2021, USA, CA, Multi-car accident,1, -, -, 1, -, -, Y, -, -, -, -
